iter	Passed	Remaining
543	262	219
544	262	219
545	262	218
546	263	218
547	263	217
548	264	217
549	264	216
550	265	216
551	265	215
552	266	215
553	266	214
554	266	214
555	267	213
556	267	213
557	268	212
558	268	212
559	269	211
560	269	211
561	270	210
562	270	209
563	271	209
564	271	209
565	272	208
566	272	208
567	272	207
568	273	207
569	273	206
570	274	206
571	274	205
572	275	204
573	275	204
574	275	203
575	276	203
576	276	202
577	277	202
578	277	201
579	278	201
580	278	200
581	279	200
582	279	200
583	280	199
584	280	199
585	281	198
586	281	198
587	281	197
588	282	197
589	282	196
590	283	195
591	283	195
592	284	194
593	284	194
594	284	193
595	285	193
596	285	192
597	286	192
598	286	191
599	287	191
600	287	190
601	288	190
602	288	189
603	288	189
604	289	188
605	289	188
606	290	187
607	290	187
608	291	186
609	291	186
610	291	185
611	292	185
612	292	184
613	293	184
614	297	186
615	298	186
616	298	185
617	299	185
618	299	184
619	300	183
620	300	183
621	300	182
622	301	182
623	301	181
624	302	181
625	302	180
626	303	180
627	303	179
628	304	179
629	304	178
630	304	178
631	305	177
632	305	177
633	306	176
634	306	176
635	307	175
636	307	175
637	308	174
638	308	174
639	309	173
640	309	173
641	310	172
642	310	172
643	310	171
644	311	171
645	311	170
646	312	170
647	312	169
648	313	169
649	313	168
650	313	168
651	314	167
652	314	167
653	315	166
654	315	166
655	316	165
656	316	165
657	317	164
658	317	164
659	317	163
660	318	163
661	318	162
662	319	162
663	320	162
664	320	161
665	321	161
666	322	160
667	322	160
668	323	159
669	323	159
670	324	158
671	324	158
672	325	157
673	325	157
674	325	156
675	326	156
676	326	155
677	327	155
678	327	154
679	328	154
680	328	153
681	328	153
682	329	152
683	329	152
684	330	151
685	330	151
686	331	150
687	331	150
688	331	149
689	332	149
690	333	148
691	333	148
692	334	147
693	334	147
694	335	147
695	335	146
696	336	146
697	336	145
698	337	145
699	337	144
700	338	144
701	338	143
702	339	143
703	339	142
704	339	142
705	340	141
706	340	141
707	341	140
708	341	140
709	342	139
710	342	139
711	343	138
712	343	138
713	343	137
714	344	137
715	344	136
716	345	136
717	345	135
718	346	135
719	346	134
720	347	134
721	347	133
722	347	133
723	348	132
724	348	132
725	349	131
726	349	131
727	350	130
728	350	130
729	351	129
730	351	129
731	351	128
732	352	128
733	352	127
734	353	127
735	353	126
736	354	126
737	354	125
738	354	125
739	355	124
740	355	124
741	356	123
742	356	123
743	357	122
744	357	122
745	357	121
746	358	121
747	358	120
748	359	120
749	359	119
750	360	119
751	361	119
752	361	118
753	362	118
754	362	117
755	362	117
756	363	116
757	364	116
758	364	115
759	365	115
760	365	114
761	366	114
762	366	113
763	367	113
764	367	112
765	368	112
766	368	112
767	369	111
768	369	111
769	370	110
770	370	110
771	370	109
772	371	109
773	372	108
774	372	108
775	373	107
776	373	107
777	374	106
778	374	106
779	375	105
780	375	105
781	376	104
782	376	104
783	376	103
784	377	103
785	378	102
786	378	102
787	379	101
788	379	101
789	380	101
790	380	100
791	380	100
792	381	99
793	381	99
794	382	98
795	382	98
796	382	97
797	383	97
798	383	96
799	384	96
800	384	95
801	385	95
802	385	94
803	386	94
804	386	93
805	386	93
806	387	92
807	387	92
808	388	91
809	388	91
810	389	90
811	389	90
812	390	89
813	390	89
814	391	88
815	391	88
816	392	87
817	393	87
818	393	86
819	393	86
820	394	85
821	394	85
822	395	84
823	395	84
824	396	84
825	396	83
826	396	83
827	397	82
828	397	82
829	398	81
830	398	81
831	399	80
832	399	80
833	400	79
834	400	79
835	400	78
836	401	78
837	401	77
838	402	77
839	402	76
840	403	76
841	403	75
842	403	75
843	404	74
844	404	74
845	405	73
846	405	73
847	406	72
848	406	72
849	407	71
850	407	71
851	408	70
852	408	70
853	408	69
854	409	69
855	409	68
856	410	68
857	410	67
858	411	67
859	411	67
860	412	66
861	412	66
862	413	65
863	413	65
864	413	64
865	414	64
866	414	63
867	415	63
868	415	62
869	416	62
870	416	61
871	417	61
872	417	60
873	418	60
874	418	59
875	419	59
876	419	58
877	420	58
878	420	57
879	421	57
880	421	56
881	421	56
882	422	55
883	422	55
884	423	55
885	423	54
886	424	54
887	424	53
888	425	53
889	425	52
890	426	52
891	426	51
892	426	51
893	427	50
894	427	50
895	428	49
896	428	49
897	429	48
898	429	48
899	430	47
900	430	47
901	430	46
902	431	46
903	431	45
904	432	45
905	432	44
906	433	44
907	434	44
908	434	43
909	435	43
910	435	42
911	436	42
912	436	41
913	437	41
914	437	40
915	437	40
916	438	39
917	438	39
918	439	38
919	439	38
920	439	37
921	440	37
922	440	36
923	441	36
924	441	35
925	442	35
926	442	34
927	443	34
928	443	33
929	444	33
930	444	32
931	444	32
932	445	31
933	445	31
934	446	31
935	446	30
936	447	30
937	447	29
938	448	29
939	448	28
940	449	28
941	449	27
942	450	27
943	450	26
944	451	26
945	451	25
946	451	25
947	452	24
948	452	24
949	453	23
950	453	23
951	454	22
952	454	22
953	454	21
954	455	21
955	455	20
956	456	20
957	456	20
958	457	19
959	457	19
960	457	18
961	458	18
962	458	17
963	459	17
964	459	16
965	460	16
966	460	15
967	461	15
968	461	14
969	462	14
970	462	13
971	463	13
972	463	12
973	463	12
974	464	11
975	464	11
976	465	10
977	465	10
978	466	10
979	466	9
980	467	9
981	467	8
982	467	8
983	468	7
984	468	7
985	469	6
986	469	6
987	470	5
988	470	5
989	471	4
990	471	4
991	471	3
992	472	3
993	472	2
994	473	2
995	473	1
996	474	1
997	474	0
998	474	0
999	475	0
